     Depth,  GAM(NAT),   RES(16),   RES(64),   NEUTRON,Outcome
121.5,71.2071,55.5118,87.4016,250.154,Dry
121.8,61.1775,57.2835,87.4016,354.385,Dry
122,171.503,57.2835,87.4016,354.385,Dry
122.3,51.1479,58.4646,87.4016,409.974,Dry
122.5,61.1775,59.6457,87.4016,340.487,Dry
122.8,91.2663,59.6457,89.1732,368.282,Dry
123,81.2367,61.4173,89.1732,284.897,Dry
123.3,31.0888,59.6457,89.1732,340.487,Dry
123.5,1,59.6457,89.1732,312.692,Dry
123.8,11.0296,57.2835,89.1732,298.795,Dry
124,31.0888,57.2835,89.1732,389.128,Dry
124.3,71.2071,57.2835,89.1732,451.667,Dry
124.5,51.1479,57.2835,86.2205,368.282,Dry
124.8,31.0888,57.2835,86.2205,368.282,Dry
125,21.0592,57.2835,83.2677,333.538,Dry
125.3,61.1775,57.2835,83.2677,430.821,Dry
125.5,1,57.2835,83.2677,340.487,Dry
125.8,21.0592,57.2835,83.2677,312.692,Dry
126,11.0296,57.2835,83.2677,361.333,Dry
126.3,41.1183,43.1102,83.2677,382.179,Dry
126.5,71.2071,41.9291,75,298.795,Dry
126.8,61.1775,40.1575,73.8189,305.744,Dry
127,91.2663,40.1575,73.8189,444.718,Dry
127.3,101.296,40.1575,73.8189,340.487,Dry
127.5,176.518,40.1575,73.8189,333.538,Dry
127.8,231.68,40.1575,73.8189,340.487,Dry
128,141.414,40.1575,75,375.231,Dry
128.3,61.1775,40.1575,67.9134,368.282,Dry
128.5,21.0592,40.1575,67.9134,305.744,Dry
128.8,41.1183,40.1575,66.7323,403.026,Dry
129,26.074,40.1575,66.7323,361.333,Dry
129.3,31.0888,40.1575,66.7323,472.513,Dry
129.5,36.1035,40.1575,66.7323,382.179,Dry
129.8,41.1183,40.1575,66.7323,291.846,Dry
130,41.1183,40.1575,66.7323,319.641,Dry
130.3,41.1183,40.1575,66.7323,409.974,Dry
130.5,26.074,40.1575,67.9134,430.821,Dry
130.8,71.2071,40.1575,69.685,243.205,Dry
131,51.1479,40.1575,73.8189,271,Dry
131.3,41.1183,43.1102,76.7717,430.821,Dry
131.5,31.0888,43.1102,80.9055,271,Dry
131.8,41.1183,43.1102,80.9055,361.333,Dry
132,51.1479,43.1102,80.9055,291.846,Dry
132.3,61.1775,43.1102,80.9055,277.949,Dry
132.5,51.1479,43.1102,80.9055,312.692,Dry
132.8,31.0888,43.1102,80.9055,277.949,Dry
133,41.1183,43.1102,80.9055,430.821,Dry
133.3,51.1479,43.1102,82.0866,277.949,Dry
133.5,21.0592,43.1102,82.0866,375.231,Dry
133.8,1,43.1102,82.0866,375.231,Dry
134,71.2071,41.9291,82.0866,423.872,Dry
134.3,41.1183,41.9291,82.0866,284.897,Dry
134.5,71.2071,38.9764,80.9055,319.641,Dry
134.8,41.1183,38.9764,80.9055,403.026,Dry
135,91.2663,36.0236,79.1339,284.897,Dry
135.3,31.0888,36.0236,77.9528,326.59,Dry
135.5,21.0592,36.0236,77.9528,368.282,Dry
135.8,21.0592,36.0236,76.7717,284.897,Dry
136,41.1183,36.0236,75,389.128,Dry
136.3,21.0592,36.0236,73.8189,333.538,Dry
136.5,61.1775,36.0236,73.8189,298.795,Dry
136.8,21.0592,36.0236,72.0472,291.846,Dry
137,81.2367,36.0236,70.8661,368.282,Dry
137.3,81.2367,36.0236,69.685,354.385,Dry
137.5,41.1183,38.9764,67.9134,319.641,Dry
137.8,51.1479,40.1575,66.7323,340.487,Dry
138,51.1479,40.1575,65.5512,382.179,Dry
138.3,71.2071,41.9291,63.7795,333.538,Dry
138.5,41.1183,41.9291,63.7795,458.615,Dry
138.8,41.1183,41.9291,63.7795,347.436,Dry
139,11.0296,41.9291,63.7795,305.744,Dry
139.3,51.1479,41.9291,63.7795,444.718,Dry
139.5,51.1479,41.9291,66.7323,312.692,Dry
139.8,91.2663,41.9291,67.9134,333.538,Dry
140,21.0592,41.9291,69.685,333.538,Dry
140.3,51.1479,41.9291,70.8661,326.59,Dry
140.5,41.1183,41.9291,70.8661,382.179,Dry
140.8,41.1183,43.1102,70.8661,361.333,Dry
141,21.0592,43.1102,70.8661,340.487,Dry
141.3,71.2071,43.1102,70.8661,396.077,Dry
141.5,31.0888,44.2913,69.685,305.744,Dry
141.8,81.2367,47.2441,69.685,368.282,Dry
142,41.1183,47.2441,67.9134,326.59,Dry
