     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
80.8,63.3926,59.015,92.1778,291.846,Dry
81,78.9908,59.015,90.8987,319.641,Dry
81.3,63.3926,59.1921,89.584,354.385,Dry
81.5,63.3926,58.5546,89.0865,319.641,Dry
81.8,52.9939,57.7755,88.8023,243.205,Dry
82,42.5951,57.988,89.584,312.692,Dry
82.3,63.3926,58.1651,90.7565,264.051,Dry
82.5,52.9939,58.6609,91.2895,264.051,Dry
82.8,21.7975,59.6879,90.7921,368.282,Dry
83,63.3926,60.1483,90.7565,298.795,Dry
83.3,136.184,60.5025,89.9038,236.256,Dry
83.5,52.9939,62.6982,87.1322,319.641,Dry
83.8,1,65.9919,81.2694,333.538,Dry
84,1,68.5418,77.5741,347.436,Dry
84.3,11.3988,68.3647,77.2187,298.795,Dry
84.5,32.1963,64.7169,78.7111,298.795,Dry
84.8,32.1963,62.4857,83.1171,284.897,Dry
85,52.9939,60.892,86.6348,319.641,Dry
85.3,94.589,59.7588,89.8682,291.846,Dry
85.5,32.1963,58.2713,91.787,312.692,Dry
85.8,73.7914,56.713,91.254,277.949,Dry
86,63.3926,54.6589,89.7261,271,Dry
86.3,104.988,53.561,88.4114,340.487,Dry
86.5,115.387,53.4902,87.914,291.846,Dry
86.8,115.387,54.6943,88.1627,250.154,Dry
87,42.5951,56.4651,88.7667,215.41,Dry
87.3,32.1963,57.9526,90.3657,277.949,Dry
87.5,63.3926,58.8025,92.2134,298.795,Dry
87.8,63.3926,58.8379,92.8529,340.487,Dry
88,84.1902,58.6609,91.5738,271,Dry
88.3,94.589,58.2359,89.2642,284.897,Dry
88.5,32.1963,56.9255,86.8125,312.692,Dry
88.8,21.7975,55.5089,84.0054,361.333,Dry
89,52.9939,54.7297,81.9801,312.692,Dry
89.3,32.1963,54.3756,80.6298,305.744,Dry
89.5,42.5951,55.0839,79.9547,305.744,Dry
89.8,73.7914,56.1818,79.706,312.692,Dry
90,73.7914,56.7484,79.8481,382.179,Dry
90.3,63.3926,56.713,80.3456,326.59,Dry
90.5,104.988,57.3859,80.4166,291.846,Dry
90.8,32.1963,58.413,80.239,333.538,Dry
91,52.9939,59.5817,81.1984,409.974,Dry
91.3,52.9939,60.2546,83.7922,305.744,Dry
91.5,52.9939,61.317,86.2439,250.154,Dry
91.8,42.5951,63.6899,88.3759,298.795,Dry
92,42.5951,66.1335,89.0155,250.154,Dry
92.3,32.1963,65.9565,89.2286,215.41,Dry
92.5,52.9939,62.8753,88.1982,333.538,Dry
92.8,73.7914,59.9004,86.2439,368.282,Dry
93,63.3926,57.138,84.1831,277.949,Dry
93.3,94.589,55.4735,81.2339,284.897,Dry
93.5,63.3926,54.9422,77.5385,264.051,Dry
93.8,84.1902,54.7297,73.1681,312.692,Dry
94,63.3926,52.8527,71.427,305.744,Dry
94.3,42.5951,50.9049,71.5691,236.256,Dry
94.5,32.1963,50.7632,72.7772,326.59,Dry
94.8,42.5951,52.2152,74.3406,333.538,Dry
95,94.589,54.3225,76.8634,298.795,Dry
95.3,84.1902,55.7214,79.3507,277.949,Dry
95.5,84.1902,56.5005,79.8126,291.846,Dry
95.8,32.1963,56.1464,78.9954,236.256,Dry
96,73.7914,55.0485,77.7517,284.897,Dry
96.3,42.5951,54.0568,76.4726,291.846,Dry
96.5,42.5951,52.9058,75.1579,201.513,Dry
96.8,63.3926,51.7903,73.6655,319.641,Dry
97,73.7914,50.9403,71.5336,437.769,Dry
97.3,146.583,49.9132,69.5438,271,Dry
97.5,52.9939,48.3549,68.7265,298.795,Dry
97.8,73.7914,47.6998,68.2646,389.128,Dry
98,63.3926,48.3549,68.1935,333.538,Dry
98.3,32.1963,49.3466,68.3001,333.538,Dry
98.5,52.9939,50.0549,69.0463,264.051,Dry
98.8,73.7914,49.7007,70.2544,298.795,Dry
99,52.9939,49.2049,72.1021,326.59,Dry
99.3,42.5951,50.0549,74.0564,347.436,Dry
99.5,21.7975,54.0214,76.1528,271,Dry
99.8,32.1963,60.4316,79.9903,326.59,Dry
100,21.7975,67.9752,85.2846,333.538,Dry
100.3,52.9939,73.0042,93.8478,305.744,Dry
100.5,21.7975,74.9874,103.548,319.641,Dry
100.8,84.1902,75.7312,114.812,284.897,Dry
101,63.3926,76.1561,121.101,284.897,Dry
101.3,42.5951,76.5457,124.548,382.179,Dry
101.5,52.9939,76.4749,127.284,354.385,Dry
101.8,63.3926,76.4395,129.238,298.795,Dry
102,42.5951,77.2894,130.446,243.205,Dry
102.3,52.9939,78.7415,132.081,361.333,Dry
102.5,21.7975,80.2643,134.177,333.538,Dry
102.8,42.5951,81.9289,134.994,375.231,Dry
103,42.5951,84.7975,132.862,368.282,Dry
103.3,32.1963,87.2412,129.487,340.487,Dry
103.5,1,87.4183,127.177,500.308,Dry
103.8,63.3926,83.6642,124.832,382.179,Dry
104,21.7975,78.529,124.086,340.487,Dry
104.3,21.7975,75.0229,124.512,271,Dry
104.5,42.5951,73.1458,124.441,271,Dry
104.8,42.5951,72.7917,124.796,250.154,Dry
105,21.7975,73.3583,126.253,243.205,Dry
105.3,21.7975,73.6062,127.852,326.59,Dry
105.5,42.5951,74.1729,129.238,236.256,Dry
105.8,11.3988,74.7749,130.197,284.897,Dry
106,32.1963,75.8728,130.553,298.795,Dry
106.3,32.1963,77.6082,130.233,271,Dry
106.5,32.1963,79.4144,129.38,340.487,Dry
106.8,42.5951,80.1581,128.847,271,Dry
107,52.9939,79.4852,129.096,291.846,Dry
107.3,84.1902,77.8207,128.812,215.41,Dry
107.5,52.9939,76.7936,127.39,354.385,Dry
107.8,73.7914,76.7936,125.472,291.846,Dry
108,73.7914,77.0769,124.228,257.103,Dry
108.3,58.1933,76.652,124.228,291.846,Dry
