     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
234.3,6.19939,119.307,253.543,1104.85,Hard_water
234.5,32.1963,113.69,251.969,972.82,Hard_water
234.8,11.3988,112.999,246.457,889.436,Hard_water
235,21.7975,115.163,242.52,1007.56,Hard_water
235.3,1,117.281,240.945,847.744,Hard_water
235.5,11.3988,117.879,238.583,1063.15,Hard_water
235.8,21.7975,117.879,238.583,1000.62,Hard_water
236,11.3988,119.445,238.583,1021.46,Hard_water
236.3,1,126.213,238.583,972.82,Hard_water
236.5,1,127.041,238.583,1096.06,Hard_water
236.8,11.3988,122.806,244.882,1100.79,Hard_water
237,21.7975,124.578,248.031,1100.79,Hard_water
237.3,11.3988,131.991,251.969,750.462,Hard_water
237.5,11.3988,134.5,257.48,993.667,Hard_water
237.8,6.19939,132.29,262.992,1011.02,Hard_water
238,11.3988,134.132,266.929,1034.65,Hard_water
238.3,11.3988,137.746,268.504,1044.09,Hard_water
238.5,21.7975,138.782,274.016,1100.79,Hard_water
238.8,32.1963,140.347,281.89,1117.32,Hard_water
239,11.3988,143.616,285.039,1129.13,Hard_water
239.3,1,145.596,287.402,1112.6,Hard_water
239.5,11.3988,145.734,288.976,1112.6,Hard_water
239.8,1,142.971,290.551,1112.6,Hard_water
240,1,139.979,292.913,1096.06,Hard_water
240.3,1,135.881,292.913,1088.98,Hard_water
240.5,11.3988,133.303,294.488,1183.46,Hard_water
240.8,1,129.436,296.063,1166.93,Hard_water
241,1,125.338,296.063,1145.67,Hard_water
241.3,1,125.062,296.063,1129.13,Hard_water
241.5,1,123.174,292.913,1105.51,Hard_water
241.8,1,119.721,287.402,1022.83,Hard_water
242,1,117.189,279.528,1122.05,Hard_water
242.3,32.1963,115.37,277.953,1112.6,Hard_water
242.5,32.1963,113.229,276.378,1100.79,Hard_water
242.8,11.3988,110.375,272.441,1072.44,Hard_water
243,1,113.368,266.929,1112.6,Hard_water
243.3,1,114.334,259.055,1166.93,Hard_water
243.5,11.3988,113.552,253.543,1138.58,Hard_water
243.8,1,112.17,248.031,1133.86,Hard_water
244,1,110.467,240.945,1105.51,Hard_water
244.3,6.19939,107.106,235.433,1084.25,Hard_water
244.5,21.7975,103.101,224.409,1145.67,Hard_water
244.8,11.3988,98.4505,211.024,1129.13,Hard_water
245,32.1963,94.7212,203.937,1138.58,Hard_water
245.3,11.3988,88.5519,201.575,1133.86,Hard_water
245.5,16.5982,81.5998,198.425,1117.32,Hard_water
